Source,Target,SourceYear,TargetYear,Book,Lot
Britwell (1921),W.A. White (Undated),1921,,161,26
Huntington (Undated),English Literature from London (1919),,1919,150,
Britwell (1922),Clawson (1926),1922,1926,160,130
Corser (1869),Huth (1912),1869,1912,151,77
Gaisford (1890),J.T. Adams (1931),1890,1931,153,1042
Britwell (1854),Gaisford (1890),1854,1890,153,161
Evans (1825),Frederick Perkins (1889),1825,1889,901,
Bridgewater (Undated),Huntington (Undated),,,903,
Colin Campbell (Undated),Hagen (Undated),,,911 D,
Hoe (Undated),Hagen (Undated),,,911 K,
Sotheby’s (1914),Henkels’s Shakespeare sale (1919),1914,1919,914,
Halliwell Phillipps (1889),Sotheby’s (1911),1889,1911,914,903
M.J.Perry (Undated),Hagen (Undated),,,911 M,
Charles Campbell (Undated),M.J.Perry (Undated),,,911 M,
Huth (1912),Jones (1916),1912,1916,913,1904
Sotheby’s (1911),Sotheby’s (1914),1911,1914,914,
H.J.B.Swete (Undated),Hagen (Undated),,,911 J,
Devonshire (Undated),Huntington (Undated),,,902,
Jones (1919),Clawson (1926),1919,1926,903,1409
Huntington (Undated),Jones (1919),,1919,903,
Sotheby’s (1904),Hagen (1918),1904,1918,910,880
Frederick Perkins (1889),Britwell (1919),1889,1919,901,1710
Thomas Barret of Lee (Undated),Colin Campbell (Undated),,,911 D,
Lefferts (1902),Hagen (1918),1902,1918,325,461
Lefferts (1902),Hagen (1918),1902,1918,327,464
Lefferts (1902),Hagen (1918),1902,1918,316,448
Lefferts (1902),Hagen (1918),1902,1918,319,450
Halliwell Phillipps (1889),Hagen (1918),1889,1918,329,875
Devonshire (Undated),Huntington (1918),,1918,323,
Kemble (1798),Devonshire (Undated),1798,,323,
Halsey (Undated),Huntington (1918),,1918,324,
Britwell (1921),Clawson (1926),1921,1926,246,45
Octavius G. Gilchrist (1824),Ashburnham (1897),1824,1897,248,
Hibbert (1829),Britwell (1921),1829,1921,246,6696
E.M.Cox (1920),Clawson (1926),1920,1926,245,2586
Wiper (1891),Forman (1920),1891,1920,253,92
Frederick Perkins (1889),Huth (1912),1889,1912,251,541
Hoe (1911),Halsey (1919),1911,1919,248,
Philip Lord Hardwicke (Undated),Shakespeare Library (1918),,1918,252,
Waldron (Undated),Philip Lord Hardwicke (Undated),,,252,
Ashburnham (1897),Hoe (1911),1897,1911,248,1259
Bliss (1858),Huth (1911),1858,1911,24,109
Hoe (1912),Huntington (Undated),1912,,32,112
Huntington (Undated),English Literature from London (1919),,1919,32,
Huth (1911),Clawson (1926),1911,1926,24,392
Crossleyt (Undated),Pearson (1916),,1916,938,
Pearson (1916),Jones (1919),1916,1919,938,277
Heber (1834),Crossleyt (Undated),1834,,938,2467
George Smith (1867),Huth (1918),1867,1918,937,7234
Bindley (1819),Hibbert (1829),1819,1829,942,1132
Steevens (1800),B.A.P. (1815),1800,1815,943,1078
Heber (Undated),Britwell (1924),,1924,941,2357
Lefferts (1902),Hagen (1919),1902,1919,930,1236
Heber (1834),Britwell (1922),1834,1922,943,2364
Chalmers (1842),Corser (1870),1842,1870,944,567
Hibbert (1829),Daniel (1864),1829,1864,942,7427
Bowle (1790),Chalmers (1842),1790,1842,944,10004
Corser (1870),Huth (1918),1870,1918,944,742
Bright (1845),Heber (1834),1845,1834,938,5239
Sykes (1824),Heber (Undated),1824,,941,360
B.A.P. (1815),Heber (1834),1815,1834,943,686
Daniel (1864),Huth (1918),1864,1918,942,1527
Bridgewater (Undated),Huntington (1918),,1918,934,
Daniel (1864),Huth (1918),1864,1918,940,1529
Heber (1836),Britwell (1922),1836,1922,280,376
Kemble (1798),Devonshire (Undated),1798,,282,
John Duerdin (1884),H.B.Forman (1920),1884,1920,275,195
Huntington (1917),Jones (1918),1917,1918,276,147
Devonshire (Undated),Huntington (Undated),,,281,
Britwell (1922),Clawson (1926),1922,1926,280,224
Locker (Undated),Huntington (1917),,1917,278,
Huntington (1917),Jones (1918),1917,1918,278,144
Huntington (1918),Clawson (1926),1918,1926,274,208
Titef (1874),Huth (1912),1874,1912,274,871
Hoe (1912),Huntington (1918),1912,1918,288,870
Huth (1912),Huntington (1918),1912,1918,274,2076
Hoe (1912),Huntington (1917),1912,1917,276,854
Kemble (1814),Devonshire (Undated),1814,,281,
Devonshire (Undated),Huntington (Undated),,,282,
Locker (Undated),Jones (1918),,1918,283,
Mitford (Undated),Locker (Undated),,,279,
Lefferts (1902),Hagen (1918),1902,1918,176,217
Jones (1923),Clawson (1926),1923,1926,167,40
Lefferts (Undated),Hagen (1918),,1918,178,
Heber (1834),Britwell (1921),1834,1921,166,334
Lefferts (1902),Hagen (1918),1902,1918,168,210
Ashburnham (1897),Ross Winans (Undated),1897,,173,1052
B.H. Bright (1845),T.D.C. Graham (Undated),1845,,167,2980
Jones (1918),Chew (1924),1918,1924,171,311
Halsey (Undated),Huntington (1918),,1918,171,
Humphry Primatt (Undated),Halsey (Undated),,,171,
George Steevens (1800),Heber (1834),1800,1834,166,793
Van Antwerp (1907),Jones (1923),1907,1923,167,27
Locker (Undated),Van Antwerp (1907),,1907,167,
Narcissus Luttrell (Undated),George Steevens (1800),,1800,166,
T.D.C. Graham (Undated),Locker (Undated),,,167,
Huntington (1918),Jones (1918),1918,1918,171,96
Britwell (1921),Clawson (1926),1921,1926,166,95
H.V.Jones (1923),Clawson (1926),1923,1926,180,47
Huntington (Undated),Jones (1923),,1923,187,
Devonshire (Undated),Collier (Undated),,,181,
William Fellowes (Undated),Peter Le Neve (1731),,1731,183,
H.Mordaunt [?2nd Earl of Peterborough] (Undated),William Fellowes (Undated),,,183,
Huth (1912),Hagen (1918),1912,1918,184,1590
Kemble (Undated),Devonshire (Undated),,,182,
Devonshire (Undated),Huntington (1918),,1918,182,
Marsden J. Perry (Undated),H.V.Jones (1923),,1923,180,
"Charles Bruce, Viscount Ampthill (1919)",Van Antwerp (1922),1919,1922,183,125
Peter Le Neve (1731),"Charles Bruce, Viscount Ampthill (1919)",1731,1919,183,
Corser (1868),Huth (1912),1868,1912,184,516
Lefferts (1902),Poor (1909),1902,1909,185,239
Jo. Searlleith (Undated),H.Mordaunt [?2nd Earl of Peterborough] (Undated),,,183,
William Smyth (Undated),Jo. Searlleith (Undated),,,183,
Collier (Undated),Locker (Undated),,,181,
Devonshire (Undated),Huntington (Undated),,,187,
Lefferts (1902),Poor (1909),1902,1909,186,239
Kemble (Undated),Devonshire (Undated),,,181,
Sotheby’s (1903),Marsden J. Perry (Undated),1903,,180,190
Poor (1909),Huntington (1918),1909,1918,185,85
Huntington (1917),Chew (1924),1917,1924,267,137
Britwell (1922),Clawson (1926),1922,1926,264,201
nan (Undated),nan (Undated),,,,
Jones (1918),Clawson (1926),1918,1926,271,467
Lefferts (Undated),Hoe (1912),,1912,262,
Huntington (1918),Clawson (1926),1918,1926,261,183
Hoe (1912),Huntington (1918),1912,1918,271,847
Jones (1918),Clawson (1926),1918,1926,270,420
Rowfant (1922),nan (Undated),1922,,269,556
Hoe (1912),Huntington (1917),1912,1917,267,966
Bridgewater (Undated),Huntington (1918),,1918,270,
J. Fitchett Marsh (1882),W.C. Hazlitt (Undated),1882,,269,672
W.C. Hazlitt (Undated),Rowfant (1922),,1922,269,
Mostyn (1919),Clawson (1926),1919,1926,268,89
Huntington (1918),Jones (1918),1918,1918,271,207
Bridgewater (Undated),Huntington (1918),,1918,261,
Hoe (1912),Huntington (1918),1912,1918,262,958
Huntington (1918),Jones (1918),1918,1918,270,195
John Fitchett of Warrington (1838),J. Fitchett Marsh (1882),1838,1882,269,
Pigott (1847),Britwell (1922),1847,1922,272,100
Holgate (1846),Britwell (1923),1846,1923,382-1,337
"Charles, Viscount Bruce of Ampthillt (Undated)",Marquis of Ailesbury (1919),,1919,377,
Hagen (1918),Clawson (1926),1918,1926,381,536
Crawford (1891),White (1920),1891,1920,386,1277
Steevens (1800),Crawford (1891),1800,1891,386,861
Locker (Undated),Hagen (1918),,1918,374,
Locker (Undated),Hagen (1918),,1918,383,
Jolley (1843),Holgate (1846),1843,1846,382-1,1478
Lamport Hall (Undated),Britwell (1923),,1923,385,
Huth (1913),C.L.F. Robinson (1917),1913,1917,384,3022
Chew (Undated),Huntington (Undated),,,382-2,
Marquis of Ailesbury (1919),Clawson (1926),1919,1926,377,219
Huntington (Undated),English Literature from London (1919),,1919,382-2,
Leeds Papers (Undated),Alfred Morrison (1919),,1919,MS.143,
Leeds Papers (Undated),Alfred Morrison (1919),,1919,MS.139,
Leeds Papers (Undated),Alfred Morrison (1919),,1919,MS.145,
Leeds Papers (Undated),Alfred Morrison (1919),,1919,MS.147,
Leeds Papers (Undated),Alfred Morrison (1919),,1919,MS.148,
Pepys Papers (Undated),Alfred Morrison (1919),,1919,MS.152,
Leeds Papers (Undated),Alfred Morrison (1919),,1919,MS.146,
Pepys Papers (Undated),Alfred Morrison (1919),,1919,MS.153,
Leeds Papers (Undated),Alfred Morrison (1919),,1919,MS.144,
Kemble (1797),Devonshire (Undated),1797,,132,
Heber (1834),Britwell (1923),1834,1923,130,271
G.D.Smith (1920),Clawson (1926),1920,1926,131,46
Arbury (1920),G.D.Smith (1920),1920,1920,131,52
Britwell (1923),R.E. Gadthorne Hardy (Undated),1923,,130,121
Devonshire (Undated),Huntington (Undated),,,132,
Birket Foster (1894),Wheeler (1919),1894,1919,127,49
Huth (1913),Huntington (1918),1913,1918,134,2802
Bindley (1818),Heber (1834),1818,1834,130,1379
S.W.H.Ireland (1801),Henkels’s Shakespeare sale (1919),1801,1919,921,
Devonshire (Undated),Huntington (Undated),,,918,
Kemble (1798),Devonshire (Undated),1798,,920,
Kemble (1798),Devonshire (Undated),1798,,918,
Kemble (1797),Devonshire (Undated),1797,,919,
Heber (1834),Sewall (1897),1834,1897,927,5631
Sewall (1897),Shakespeare Library (1918),1897,1918,927,3515
T.J.McKee (1901),S.K. Wilson (1918),1901,1918,915,
Halliwell (1889),T.J.McKee (1901),1889,1901,915,272
Devonshire (Undated),Huntington (Undated),,,919,
Wolfreston (1856),Huth (1918),1856,1918,929,231
Devonshire (Undated),Huntington (Undated),,,920,
Mostyn (1919),Clawson (1926),1919,1926,924,318
Grafton (1811),Gossett (1813),1811,1813,607,50
Gossett (1813),Heber (1836),1813,1836,607,4984
Heber (1836),Britwell (Undated),1836,,607,1075
Black (1844),Britwell (1924),1844,1924,1078,3582
Heber (1834),Britwell (1923),1834,1923,1065,2903
Devonshire (Undated),Huntington (1918),,1918,1075,
Huntington (1918),Jones (1919),1918,1919,1075,872
Roxburghe (1812),Heber (1834),1812,1834,1075,677
Jones (1919),Clawson (1926),1919,1926,1075,1662
Bright (1845),Corser (1871),1845,1871,1068,
Hoe (1912),Huntington (1918),1912,1918,1072,3389
Chew (Undated),Huntington (1918),,1918,1070,
Mostyn (1919),Clawson (1926),1919,1926,1074,356
Heber (1834),Devonshire (Undated),1834,,1075,6261
Mostyn (1919),Clawson (1926),1919,1926,1073,354
Huth (1920),Clawson (1926),1920,1926,1068,8063
Corser (1871),Huth (1920),1871,1920,1068,635
Bindley (1819),Bright (1845),1819,1845,204,1624
Lefferts (Undated),Chew (Undated),,,45,
Lefferts (1901),Hagen (1918),1901,1918,52,
Sir Samuel Egerton Brydges (1831),Devonshire (Undated),1831,,42,493
Devonshire (Undated),Huntington (1918),,1918,40,
Huntington (1918),Jones (1918),1918,1918,45,14
Jones (1918),Clawson (1926),1918,1926,45,80
Ames (Undated),Thos. Barret Brydges Barrett (Undated),,,42,
Mostyn (1919),Clawson (1926),1919,1926,47,112
Kemble (1797),Devonshire (Undated),1797,,40,
Chew (Undated),Huntington (1918),,1918,45,
Thos. Barret Brydges Barrett (Undated),Sir Samuel Egerton Brydges (1831),,1831,42,
Devonshire (Undated),Huntington (1918),,1918,42,
Huth (1918),Clawson (1926),1918,1926,838,6443
Kemble (1798),Devonshire (Undated),1798,,835,
Halsey (Undated),Huntington (Undated),,,840,
Mostyn (1919),Clawson (1926),1919,1926,841,293
Devonshire (Undated),Huntington (Undated),,,832,
Marshall (1890),Hoe (Undated),1890,,840,1147
Kemble (1798),Devonshire (Undated),1798,,836,
Devonshire (Undated),Huntington (Undated),,,836,
Yarborough (Undated),Hoe (1911),,1911,828,
Kemble (Undated),Devonshire (Undated),,,832,
Hoe (Undated),Halsey (Undated),,,840,
Kemble (1797),Devonshire (Undated),1797,,831,
Devonshire (Undated),Huntington (Undated),,,831,
Devonshire (Undated),Huntington (Undated),,,835,
Arbury (1920),G.D.Smith (1920),1920,1920,357,100
Tite (1874),Lefferts (1902),1874,1902,359,1028
Huth (1912),Jones (1916),1912,1916,348,2567
Shakespeare Library (1918),Clawson (1926),1918,1926,351,476
Lefferts (1902),Hagen (1918),1902,1918,359,546
Leeds Papers (Undated),Alfred Morrison (1919),,1919,MS.137,
Sotheby’s (1882),Alfred Morrison (1919),1882,1919,MS.130,20
Young (1869),Alfred Morrison (1919),1869,1919,MS.128,271
Leeds Papers (Undated),Alfred Morrison (1919),,1919,MS.138,
Percivall Beaumont (Undated),Richard Le Gallienne (Undated),,,1022,
Ratcliffe (1776),"Hugh, grd Earl of Marchmont (Undated)",1776,,1026,1214
Littledale (1820),Holmes (1841),1820,1841,1025,827
"Marchmont’s grandson, Hugh Scott of Harden, later Lord Polwarth. (1909)",Van Antwerp (1922),1909,1922,1026,64
Ashburnham (Undated),Winans (Undated),,,1025,
"Hugh, grd Earl of Marchmont (Undated)",Rt. Hon. Sir George Rose (Undated),,,1026,
West (1773),Ratcliffe (1776),1773,1776,1026,1190
Holmes (1841),Ashburnham (Undated),1841,,1025,1373
Hagen (1918),Sotheby’s (1903),1918,1903,1028,1347
Lefferts (1902),Hagen (1918),1902,1918,1020,1393
Lefferts (1902),Hagen (1918),1902,1918,1021,1334
Rt. Hon. Sir George Rose (Undated),"Marchmont’s grandson, Hugh Scott of Harden, later Lord Polwarth. (1909)",,1909,1026,
Halliwell Phillipps (Undated),Corser (1870),,1870,965,
Baron Bolland (1840),Utterson (1852),1840,1852,965,2150
Stradling (1901|1306),Hoe (1911),1901|1306,1911,963,
Charles Lilburn (Undated),Hagen (1918),,1918,967,
Halsey (Undated),Huntington (1917),,1917,968,
Griswold (Undated),Purdy (1917),,1917,969,
Utterson (1852),Halliwell Phillipps (Undated),1852,,965,1721
Corser (1870),Thomas Brooke (1921),1870,1921,965,807
Huntington (Undated),Hagen (1918),,1918,963,
Hoe (1911),Huntington (Undated),1911,,963,3124
Steevens (Undated),Tite (1874),,1874,890,
Gaisford (1890),Britwell (1919),1890,1919,890,1739
Devonshire (Undated),Huntington (1918),,1918,900,
N.Q. Pope (1895),Hoe (1911),1895,1911,895,
Wolfreston (1856),Tite (1874),1856,1874,896,353
Tite (1874),Crawford (1876),1874,1876,890,2760
Gaisford (1890),Britwell (1919),1890,1919,891,1740
J. Dunn Gardner (1854),Tite (1874),1854,1874,888,2195
Hoe (1911),Clawson (1926),1911,1926,895,2974
Church (Undated),Huntington (1918),,1918,888,
Locker (Undated),Church (Undated),,,888,
Tite (1874),Britwell (1923),1874,1923,896,2775
Huntington (1918),Clawson (1926),1918,1926,900,442
Crawford (1876),Gaisford (1890),1876,1890,890,1034
Arbury (1920),G.D.Smith (1920),1920,1920,899,297
Lord Vernon (1918),Clawson (1926),1918,1926,887,466
Tite (1874),Locker (Undated),1874,,888,2752
J.E.Hodgkin (1914),Thorn Drury (1919),1914,1919,MS.2k,216
Herber (1836),Corser (1868),1836,1868,22,62
Hagen (1918),Clawson (1920),1918,1920,22,18
Lefferts (1902),Hagen (1918),1902,1918,15,18
Sotheby’s (1900),Hagen (1918),1900,1918,12,
R.H. Turner (1888),Lefferts (1902),1888,1902,22,265
Hoe (Undated),Jones (1918),,1918,14,
Ashburnham (1897),Lefferts (1902),1897,1902,17,164
Lefferts (1902),Hagen (1918),1902,1918,17,21
Hoe (1912),Huntington (Undated),1912,,11,
Lefferts (1902),Hagen (1918),1902,1918,22,22
Cornelius Paine (1891),Lefferts (1902),1891,1902,15,268
Herber (Undated),Cornelius Paine (1891),,1891,15,
Osterley Park (1885),Hoe (Undated),1885,,14,99
Joseph Hunter (Undated),B.H. Bright (1845),,1845,21,
Corser (1868),R.H. Turner (1888),1868,1888,22,145
Huntington (Undated),Clawson (1926),,1926,11,
Huth (1918),Clawson (1926),1918,1926,990,7097
Bridgewater (Undated),Huntington (Undated),,,1001,
Devonshire (Undated),Huntington (Undated),,,1003,
Roxburghe (1812),Kemble (1814),1812,1814,1003,5943
Thomas Lloyd (1840),Britwell (1921),1840,1921,988,470
Utterson (1857),Huth (1918),1857,1918,991,1607
Devonshire (Undated),Huntington (Undated),,,999,
Kemble (1814),Devonshire (Undated),1814,,1003,
George Daniel (Undated),Huth (1918),,1918,992,
Kemble (1798),Devonshire (Undated),1798,,999,
Huth (1918),Clawson (1926),1918,1926,992,7099
Huntington (Undated),English Literature from London (1919),,1919,1001,
Lefferts (1901),Hagen (1918),1901,1918,782,62
Britwell (1920),Clawson (1926),1920,1926,784,133
Stanley (1813),Sykes (1824),1813,1824,783,669
Jones (1919),Clawson (1926),1919,1926,792,1288
Britwell (1920),Clawson (1926),1920,1926,783,133
Heber (1835),Britwell (1920),1835,1920,783,2761
Heber (1835),Britwell (1920),1835,1920,784,2761
Park (Undated),B.A.P.No.554 (Undated),,,786,
Wright (1787),Steevens (1800),1787,1800,792,1873
Sykes (1824),Heber (1835),1824,1835,783,134
R-H.Inglis (1889),Thorn Drury (1931),1889,1931,787,440
Heber (1834),Britwell (1924),1834,1924,786,1725
Devonshire (Undated),Huntington (1918),,1918,792,
Huntington (1918),Jones (1919),1918,1919,792,648
Roxburghe (1812),Holgate (1846),1812,1846,790,4054
Holgate (1846),Britwell (1922),1846,1922,790,633
Mostyn (1919),Clawson (1926),1919,1926,789,271
B.A.P.No.554 (Undated),Heber (1834),,1834,786,
Roxburghe (1812),Heber (1834),1812,1834,792,5605
Huth (1917),Jones (1919),1917,1919,791,5674
Steevens (1800),Roxburghe (1812),1800,1812,792,1259
Heber (1834),Devonshire (Undated),1834,,792,4394
Heber (1835),Britwell (1927),1835,1927,502,3179
W.W.E. Wynne (Undated),Ashburnham (1897),,1897,494,
Bridgewater (Undated),Bindley (1818),,1818,502,
Thomas Brooke (Undated),Lady Brooke (1913),,1913,494,
Ashburnham (1897),Thomas Brooke (Undated),1897,,494,1984
J.C. Williams (1929),J-T.Snyder (1934),1929,1934,494,671
Lady Brooke (1913),J.C. Williams (1929),1913,1929,494,304
Willet (1813),Devonshire (Undated),1813,,489,1195
West (1773),Willet (1813),1773,1813,489,4091
Bindley (1818),Heber (1835),1818,1835,502,2042
Edmund Ferrers (Undated),Hagen (1918),,1918,491,
Devonshire (Undated),Huntington (Undated),,,489,
Steeves (1916),Jones (1919),1916,1919,465,255
H.W. Poor (1908),Huntington (1918),1908,1918,464,564
Sykes (1824),Pittar (1918),1824,1918,472,1500
Huth (1913),Jones (1919),1913,1919,469,3636
C.C.Jones Jr. (Undated),C.L.F. Robinson (1917),,1917,461,
Tyssen (1801),Heber (1835),1801,1835,460,1210
Heber (1835),Britwell (1926),1835,1926,460,2180
Arnold (1901),D.F. Appleton (1903),1901,1903,464,159
Hibbert (1829),J. Dunn Gardner (1854),1829,1854,469,3916
J. Dunn Gardner (1854),Huth (1913),1854,1913,469,1060
Sykes (1824),Hibbert (1829),1824,1829,469,203
John Vincent (1670),Ralph Sheldon (1781),1670,1781,460,
Lefferts (1902),Hagen (1918),1902,1918,468,727
Pittar (1918),Clawson (1926),1918,1926,472,321
Bridgewater (Undated),Huntington (1918),,1918,473,
Huntington (1918),Clawson (1926),1918,1926,473,420
D.F. Appleton (1903),H.W. Poor (1908),1903,1908,464,250
Ralph Sheldon (1781),Tyssen (1801),1781,1801,460,
Lefferts (1902),Huntington (1917),1902,1917,470,730
John Tudor Frere (1896),Lefferts (1902),1896,1902,468,373
Pembroke (1920),Clawson (1926),1920,1926,471,232
Bowle (1790),Chalmers (1842),1790,1842,946,10004
Corser (1870),Huth (1918),1870,1918,946,742
White Knights (1819),Perry (1822),1819,1822,952,1522
Steevens (1800),Roxburghe (1812),1800,1812,952,849
Huntington (Undated),Clawson (1926),,1926,945,
Sykes (1824),Britwell (1922),1824,1922,952,1007
Lefferts (1902),Hoe (1912),1902,1912,955,1254
Roxburghe (1812),White Knights (1819),1812,1819,952,3320
Hoe (1912),Jones (1916),1912,1916,955,2972
Sykes (1824),Heber (1834),1824,1834,947,363
Hoe (1911),Huntington (Undated),1911,,945,3080
Chalmers (1842),Corser (1870),1842,1870,946,567
Chew (Undated),Huntington (1917),,1917,950,
Heber (1834),Britwell (1922),1834,1922,947,2359
Perry (1822),Sykes (1824),1822,1824,952,362
Ashburnham (1898),Hoe (1911),1898,1911,945,3424
Gaisford (1890),Adams (1931),1890,1931,948,1787
Thorn Drury (1932),Steevens (1932),1932,1932,MS.2dd,2395
Henry Porter (1879),Alfred Morrison (1919),1879,1919,MS.11C,104
Upcott (1846),Alfred Morrison (1919),1846,1919,MS.35I,429
Dawson Turner (1859),Alfred Morrison (1919),1859,1919,MS.35O,679
Pepys Papers (Undated),Alfred Morrison (1919),,1919,MS.35N,
William Upcott (1846),Alfred Morrison (1919),1846,1919,MS.35P,421
Church (Undated),Huntington (Undated),,,537,
Huntington (1918),Jones (1919),1918,1919,540,460
Bridgewater (Undated),Huntington (Undated),,,534,
Huntington (Undated),Jones (1919),,1919,534,
Hoe (1912),Huntington (1918),1912,1918,540,1803
Corser (1870),Huth (1914),1870,1914,536,4371
Jones (1919),Clawson (1926),1919,1926,540,951
Locker (Undated),Hoe (1912),,1912,540,
Lenox  (Undated),Church (Undated),,,537,
Lefferts (Undated),Hagen (1918),,1918,293,
Hagen (1918),Clawson (1926),1918,1926,294,356
Hagen (1918),Clawson (1926),1918,1926,293,360
Hoe (1912),Huntington (1918),1912,1918,291,1049
Sotheby’s (1897),Hagen (1918),1897,1918,296,382
Lefferts (1902),Hoe (1912),1902,1912,291,404
William Collet of the Hale (Undated),Clawson (1926),,1926,300,
Hoe (1912),Huntington (1918),1912,1918,290,1047
Hagen (1918),Clawson (1926),1918,1926,299,359
Wiper (1891),Leffe (Undated),1891,,295,506
Leffe (Undated),Hagen (1918),,1918,295,
Hoe (1912),Huntington (1918),1912,1918,314,972
Britwell (1922),Clawson (1926),1922,1926,303,243
Heber (1834),Britwell (1922),1834,1922,303,594
McKee (1gor),Hagen (1918),1gor,1918,307,2882
George Soaper (Undated),Beverly Chew (Undated),,,305,
Bindley (1820),Heber (1834),1820,1834,303,163
Beverly Chew (Undated),Huntington (1917),,1917,305,
Huntington (1917),Hagen (1918),1917,1918,305,154
Hoe (1912),Hagen (1918),1912,1918,306,1039
Lamport Hall (Undated),Britwell (1923),,1923,802,
"Charles Bruce, Viscount Ampthill (1919)",Sotheby’s (1919),1919,1919,796,256
Sotheby’s (1881),Alfred Morrison (1919),1881,1919,MS.105D,21
Bindley (1819),Heber (1835),1819,1835,794,1002
Sotheby’s (1919),P.M.Barnard (1934),1919,1934,796,121
Britwell (1920),Clawson (1926),1920,1926,794,243
Heber (1835),Britwell (1920),1835,1920,794,2794
Sotheby’s (1881),Alfred Morrison (1919),1881,1919,MS.105G,20
Farmer (1798),Ross Winans (Undated),1798,,798,7247
Halsey (Undated),Huntington (1918),,1918,235,
Hodgson’s (1917),Anderson’s (1919),1917,1919,243,189
Lefferts (1902),Halsey (Undated),1902,,235,287
Jones (1923),Clawson (1926),1923,1926,243,65
Anderson’s (1919),Jones (1923),1919,1923,243,243
Mavor (Undated),Bliss (1858),,1858,5,
Huntington (Undated),Clawson (Undated),,,7,
Corser (1870),Kershaw (1877),1870,1877,1,Lot 825
Kershaw (1877),Huth (1918),1877,1918,1,Lot 1387
Herber (1834),Britwell (1922),1834,1922,2,
W.A.H. Martin (1888),Britwell (1922),1888,1922,6,
Hoe (Undated),Huntington (Undated),,,7,
Corser (1870),Huth (1918),1870,1918,5,
Bliss (1858),Corser (1870),1858,1870,5,
Britwell (1919),Jones (1923),1919,1923,429,35
Heber (1834),Freeling (1836),1834,1836,429,795
