Source,Target,Type,Avg Date,Start Date,End Date,Transcription,Book Certainty,Date Certainty,Person Certainty
Richard Bancroft,Otho DVIII,Undirected,1608,1607,1610,Richard Bancroft,True,True,True
Arthur Agarde,Cleopatra AXVI,Undirected,1615,,1615,Arthur Agarde,True,True,True
unidentified borrower,Claudius CXI,Undirected,1655,1655,1655,unread signa- ture of borrower [? addle],True,False,False
Arthur Agarde,Otho DIII,Undirected,1613,1612,1615,"Arthur Agarde,",False,True,True
Augustine Vincent,Cleopatra CIII,Undirected,1611,1611,,"Augustine Vincent, 1611 + (66.1: ? this)",True,True,True
James Ussher,Vitellius EXIV,Undirected,1611,1610,1612,James Ussher,True,True,True
Arthur Agarde,Julius DVII,Undirected,1613,1612,1615,Arthur Agarde,True,True,True
Francis Tate,Tiberius CXI,Undirected,1617,,1617,"Tate, before 1617 (111.6)",True,True,True
James Ussher,Claudius AV,Undirected,1625,1625,1625,"James Ussher, 1625, via ‘Mr Burnett’ (Jul. C.III, fol. 383).",True,True,True
James Ussher|William Laud|George Abbot,Nero CVII,Undirected,1634,1633,1635,"Ussher (or Laud or Abbot), ? ¢.1634 (135.2: (2) this or Claud. E.IV, or (1) Jul. D.III or Faust, B.IV)",False,False,False
,Tiberius AXIII,Undirected,unknown date,,,"Tate, before 1617 (111.10)",True,True,True
John Selden,Tiberius BV,Undirected,1639,1639,1639,"John Selden, 1639 (186.2).",True,True,True
Francis Tate|John Harington’s tutor|William Crashaw,Titus DXIX,Undirected,1612,,1612,"Francis Tate, by 1612, John Harington’s tutor, and William Crashaw (22.8 and, for Harington’s tutor and Crashaw, 42.1: (1) this, Tit. D.I or Dublin, Trinity College, MS 244 (C.3.12), or (2) Norwich, Castle Museum, MS 158.926/4g3).",False,True,True
Lord William Howard,Claudius AVIII,Undirected,1640,1640,1640,"Sir William Howard, 1640 (196.1).",True,True,True
John Doyly,Vitellius EXV,Undirected,1637,1637,1638,John Doyly,True,True,True
Edward Herbert,Titus DIX,Undirected,1636,1636,1636,"Edward Herbert, 1636 (119.10: this or Calig. A.III, Tit. D.II, Cleo. A-XTV or Cleo. B.V.)",False,True,True
Bulstrode Whitelocke,Nero BV,Undirected,1653,1653,1653,"Bulstrode Whitelocke, 1653 (128",True,True,True
Mr Beston,Galba EVI,Undirected,unknown date,unknown date,unknown date,"‘Mr Beston’, unknown date (151: fol. 68, art. 27, fols 86-877, art. 31, fols 100-3y, art. 38, fols 105-6y, art. 40, fols 111-12y, 114, 115, artt. 44-45, fols 118-19y, art. 47, of this + Calig. C.III + Vesp. FVD.",True,False,True
Augustine Lindsell,Vitellius DXIII,Undirected,1621,1621,1621,"Augustine Lindsell, 1621 (2.36)",True,True,True
Henry Montagu,Faustina EV,Undirected,1604,1604,,Henry Montagu,False,True,True
Thomas Coventry|John Borough,Titus EIII,Undirected,1621,1621,1621,"Thomas Coventry, 1621, and John Borough, 1621 (2.63)",True,True,True
George Buc,Otho DVII,Undirected,1616,1616,1616,"George Buc, 1616 (102.1: this, Claud. E.ITI or Vesp. A.XXID",False,True,True
William Le Neve,Caligula AXV,Undirected,1641,1641,1641,"William Le Neve, 1641 (222.2).",True,True,True
John Selden,Titus EIII,Undirected,1640,1639,1641,Selden,True,True,True
John Selden,Titus EIV,Undirected,1640,1640,1640,"Selden, 1640 (209.16).",True,True,True
Henry Spelman,Claudius DII,Undirected,1617,1617,1617,"Spelman, 1617 (99.1: this or Tit. AXXVII)",False,True,True
William Camden,Vitellius DXV,Undirected,1606,1606,1606,William Camden,True,True,True
William Camden,Vitellius AIII,Undirected,1623,,1623,William Camden,False,True,True
Arthur Agarde,Titus AII,Undirected,1613,1612,1615,Arthur Agarde,False,True,True
Mr Beston,Vespasian FVI,Undirected,unknown date,unknown date,unknown date,"‘Mr Beston’, unknown date (151: numerous articles in this + Calig. C.III + Galba EVI).",True,True,True
James Ussher,Cleopatra BIX,Undirected,1621,1621,1621,"James Ussher, 1621 (2.6)",True,True,True
William Camden,Vitellius FIX,Undirected,1606,1606,1606,"William Camden, 1606 (10.19)",True,True,True
William Watts,Otho AI,Undirected,1640,1640,1640,"William Watts, 1640 (206.1).",True,True,True
Arthur Agarde,Faustina AIII,Undirected,1613,1612,1615,"Agarde, 1612-15 (18.15, 71.6: (1) this or (2) Tit. AVIII)",False,True,True
John Selden,Titus BV,Undirected,1638,1637,1639,John Selden,True,True,True
"Samuel Roper, senior",Caligula AXIII,Undirected,1638,1638,1638,"Samuel Roper, senior, 1638 (171.1)",True,True,True
John Selden,Claudius DII,Undirected,1622,1622,1622,John Selden,True,True,True
Henry Bourchier,Titus FIII,Undirected,1637,,1637,"of fols 1-90y, art. 1",True,True,True
John Selden,Titus EIV,Undirected,1638,1637,1639,"John Selden, ¢.1638 (163.16)",True,True,True
John Selden,Caligula DXI,Undirected,1621,1621,1621,"(? distrib- uted in Calig. D.VI-E.IV) John Selden, 1621 (2.86)",True,True,True
Patrick Young,Claudius DIX,Undirected,1616,1615,1617,Patrick Young,False,True,True
St Lo Kniveton,Claudius AVI,Undirected,1615,1615,1616,"St Lo Kniveton, 1615-16 (45.22)",True,True,True
Robert Cecil,Caligula EVI,Undirected,1608,1605,1612,"(? distributed in Calig. EV and VI) Robert Cecil, through Thomas Wilson, c.1605~-12 (12.2).",True,True,True
Thomas Howard,Vitellius CXVI,Undirected,1621,1621,1621,"Thomas Howard, 1621 (2.79: this or Vit. C_XI",False,True,True
Nicolas-Claude Fabri de Peirese,Tiberius CXIII,Undirected,1618,1618,1618,Nicolas-Claude Fabri de Peirese,True,True,True
John Selden,Nero DI,Undirected,1638,1638,1638,"Selden, 1638 (155.4: (1) this or (2) Claud. E.IV)",False,True,True
John Everard,Vespasian AXVIII,Undirected,1626,1626,1626,John Everard,True,True,True
William Camden,Vespasian BXXV,Undirected,1606,1606,1606,"William Camden, 1606 (10.11: this, Vesp. A.II or Dom. I. Cf. Jul. C.II, fol. 65).",False,True,True
William Camden,Claudius DI,Undirected,1604,1604,,"William Camden, after Christmas 1604 (129.1: (2) this, Jul. D.II1, Tib. E:VI or Otho D.III, or (1) Nero D.1)",False,True,True
John Selden,Vitellius FIX,Undirected,1641,1641,1641,John Selden,False,True,True
Arthur Agarde,Vitellius AXIII,Undirected,1613,1612,1615,"(of fols 20-82, art. 5) Agarde, 1612-15 (18.16, 71.7)",True,True,True
John Selden,Tiberius CV,Undirected,1638,1637,1639,"Selden, c.1638 (163.18)",True,True,True
Henry Howard,Cleopatra EI,Undirected,1612,1611,1613,"(? of fols 183-87, art. 41, of this or ? Cleo. B.XII) Henry Howard, ¢.1612 (21.6)",False,True,True
Thomas Wilson,Julius FVI,Undirected,1619,1617,1621,"Thomas Wilson, 1617, 1621 (111.21, 2.101: ? fols 168v-69, art. 91, of this, and / or parts of Vit. C.XI, XVI, Vesp. F.V1)",True,True,True
Elias Ashmole,Julius CIX,Undirected,1660,1660,1660,Elias Ashmole,False,True,True
,Galba BVI,Undirected,1621,1621,1621,"John Selden, 1621 (2.87: ? distributed in Galba B.I-XII)",True,True,True
Basil Brooke,Cleopatra EII,Undirected,1631,,1631,Basil Brooke,False,True,True
Edward Coke,Julius FIII,Undirected,1612,1611,1613,"Edward Coke, ¢.1612 (53.3: ? this, but see below)",True,True,True
Henry Howard,Caligula CIII,Undirected,1604,1604,,"Henry Howard, after Christmas 1604 (129.16: ? parts of this, Jul. F-VI, Calig. B,IV, C.I-II, and IX)",False,True,True
Robert Bowyer,Otho CI,Undirected,1616,1616,1616,"Bowyer,",True,True,True
St Lo Kniveton,Titus BXI,Undirected,1617,,1617,"(of part II, fols 49-50, art. 94) St Lo Kniveton, by 1615, by1617 (45.10, 111.30)",True,True,True
John Lambe,Vespasian AXXIV,Undirected,1612,,1612,"John Lambe, ? by 1612 (26.2: this, Otho A-XVII, Cleo. C.1, Il or Faust. B.IIT)",False,True,True
James Ussher,Vitellius FIX,Undirected,1611,1610,1612,James Ussher,True,True,True
William Camden,Tiberius EVI,Undirected,1604,1604,,"William Camden, after Christmas 1604 (129.1: (2) this, Jul. D.III, Claud. D.I or Otho D.III, or (1) Nero D.D)",False,True,True
Francis Crane,Vespasian EXVII,Undirected,1670,1670,1670,"Francis Crane, 1670 (270)",True,True,True
Thomas Wilson|Robert Cecil,Otho EIX,Undirected,1608,1605,1612,"of fols 334—5y, art. 128, etc.) Thomas Wilson, for Robert Cecil, ¢.1605-12 (12.6)",True,True,True
Lord William Howard|Nicholas Roscarrock,Vespasian BXX,Undirected,1611,1607,1616,"Lord William Howard and Nicholas Roscarrock, 1607 or later to 1612-16 (20.2, 74.3).",True,True,True
Daniel Dunn,Vespasian BXXII,Undirected,1611,,1611,"Daniel Dunn, by 1611 (55.2: (2) this or (1) Bodl., MS Tanner 212. The Tanner manuscript is folio and is bound in white vellum",False,True,True
Edward Herbert,Caligula DXII,Undirected,1636,1636,1636,"(of this + part of E.T1V) Edward Herbert, 1636 (117.3 and 119.7).",True,True,True
George Carew,Caligula DIX,Undirected,1604,1604,,George Carew,True,True,True
Thomas Howard,Titus CI,Undirected,1625,1621,1629,Thomas Howard,True,True,True
Richard Bancroft|John Pory,Cleopatra AXVI,Undirected,1608,1608,1608,Richard Bancroft,False,True,True
Bulstrode Whitelocke,Galba DVI,Undirected,1652,1652,1652,Bulstrode Whitelocke,False,True,True
Arthur Agarde,Titus AI,Undirected,1599,,1599,Arthur Agarde,True,True,True
William Camden,Nero DI,Undirected,1604,1604,,William Camden,False,True,True
Arthur Agarde,Julius BIV,Undirected,1613,1612,1615,Arthur Agarde,True,True,True
Richard Bancroft,Titus AI,Undirected,1611,1610,1612,Bancroft or George Abbot,False,True,False
John Selden,Titus EXII,Undirected,1640,1639,1641,John Selden,True,True,True
Richard Montague,Tiberius CXIII,Undirected,1621,,1621,Richard Montague,True,True,True
Richard Bancroft,Vitellius DVII,Undirected,1608,1608,1608,Richard Bancroft,False,True,True
,Tiberius AXIV,Undirected,1616,1615,1617,"Patrick Young, c.1616, and Samuel Ward (49.18: this or Tib. C.ID)",True,True,True
William Dugdale,Vespasian CXIV,Undirected,1661,1661,1661,William Dugdale,True,True,True
James Ussher,Vespasian AIX,Undirected,1621,1621,1621,Ussher,False,True,True
John Donne,Cleopatra FVII,Undirected,1603,1602,1604,"(of fols 83-292, art. 6) John Donne, 1602-4 (letter to Cotton on fols 293-94v, from Pyrford, Surrey, where Donne was living until 1604: DNB. Art. 6 is Diego de Valdés’s printed tract, De dignitate regum regnorumque Hispaniae ..., published in 1602.)",True,True,True
John Selden,Vitellius CX,Undirected,1638,1638,1638,,True,True,True
John Selden,Nero AVII,Undirected,1638,1637,1639,"John Selden, c.1638 (163.19: this or Claud. A-VII).",False,True,True
Arthur Agarde,Tiberius AVI,Undirected,1613,1612,1615,Arthur Agarde,True,True,True
James Ware,Cleopatra AII,Undirected,1627,1627,1627,"James Ware, 1627 (Jul. C.III, fol. 386).",True,True,True
William Lisle,Claudius BIV,Undirected,1621,1621,1621,"L'Isle,",True,True,True
Richard Bancroft,Cleopatra FII,Undirected,1608,1607,1610,Richard Bancroft,False,True,True
Patrick Young,Otho AXII,Undirected,1613,1613,1613,"Patrick Young, 1613 (? Smith art. 7 of this: Vesp. F.XIII, no. 309, letter from Young returning to Cotton ‘Elmerus his Epistles’",True,True,True
Humphrey Henchman,Otho BXIV,Undirected,1624,1624,1624,"Humphrey Henchman, ? 1624 (2.102, cf. 6018, no. 225)",True,True,True
Richard Bancroft,Vitellius EXVII,Undirected,1608,1608,1608,"Richard Bancroft, 1608, by hand of John Pory (29.1: fols 18-188, art. 3, of this or Calig. A-VIII, and see below).",False,True,True
St Lo Kniveton,Titus BXI,Undirected,1617,,1617,"(? of part Il, fols 213-17, art. 162) Kniveton, by 1615, by 1617 (45.13, 111.29)",True,True,True
William Camden,Otho BX,Undirected,1614,1612,1616,William Camden,True,True,True
James Ware,Julius AIII,Undirected,1656,1656,1656,"James Ware, 1656 (261.1).",True,True,True
William Camden,Nero BX,Undirected,1614,1612,1616,"William Camden, 1612-16 (75.4: this, Claud. E.VIL or Vesp. F.VIII).",False,True,True
Francis Tate,Tiberius AXIII,Undirected,1614,1612,1616,Francis Tate,True,True,True
George Buc,Tiberius AXIII,Undirected,1616,1615,1617," George Buc, ¢.1615-17 (89.1)",True,True,True
Peter Balle,Domitian XV,Undirected,1651,1651,1651,Peter Balle,False,True,True
John Selden,Cleopatra AIII,Undirected,1638,1638,1638,"John Selden, 1638 (155.5)",True,True,True
John Williams|John Selden,London British Library Additional MS 46410,Undirected,1621,1621,1621,"John Williams, 1621, and John Selden (2.88)",True,True,True
Henry Montagu,Titus EI,Undirected,1631,,1631,"Henry Montagu, by 1631 (113.4: this or Add. MS 33216)",False,True,True
Richard Bancroft|George Abbot,Cleopatra FI,Undirected,unknown date,,,Bancroft,False,True,False
Arthur Agarde,Faustina AIV,Undirected,1613,1612,1615,"Arthur Agarde, 1612-15 (18.8, 71.14, 77.16)",True,True,True
Benjamin Jonson,Claudius EIII,Undirected,1621,1621,1621,Benjamin Jonson,True,True,True
John Selden,Vitellius AVII,Undirected,1641,1641,1641,"John Selden, 1641 (225.1).",True,True,True
Richard Bancroft,Claudius DVI,Undirected,1608,1608,1608,"(of fols 5-98, artt. 1-3)",True,True,True
Henry Montagu,Titus CI,Undirected,1626,,1626,Montagu,True,True,True
John Selden,Claudius EIV,Undirected,1638,1638,1638,"John Selden, 1638 (155.4: (2) this or (1) Nero D.1)",False,True,True
John Selden,Nero EVI,Undirected,1638,1637,1639,"John Selden, c.1638 (162: this, Claud. E.VI or Nero C.IX)",False,True,True
John Selden,Claudius BIV,Undirected,1621,1621,,"John Selden, in or after 1621 (6018, no. 264)",True,True,True
Godfrey Goodman,Cleopatra EI,Undirected,1653,1653,1653,,True,True,True
Henry Bourchier,Cleopatra EIV,Undirected,1653,1653,1653,Henry Bourchier,True,True,True
John Speed,Nero DX,Undirected,1612,1611,1613,"John Speed, c.1612 (50.4: this or Otho D.VIID",False,True,True
,Tiberius CVII,Undirected,1621,1621,1621,1621 (2.46),True,True,True
John Selden,Vitellius DXV,Undirected,1638,1637,1639,"John Selden, ¢.1638 (163.23).",True,True,True
Bulstrode Whitelocke,Galba DX,Undirected,1652,1652,1652,Bulstrode Whitelocke,True,True,True
Patrick Young,Claudius BIX,Undirected,1621,1621,1622,Patrick Young,True,True,True
John Selden,Nero DVIII,Undirected,1638,1638,1638,"John Selden, 1638 (155.3: this, Jul. B.XIII, Tib. B.XIII, C.IH, Vit. C.X, E.V, VIL, Dom. I, V, Cleo. D.V or Faust. C.IV).",False,True,True
Augustine Baker,Vitellius CVIII,Undirected,1623,1623,,Augustine Baker,True,True,True
Robert Drury,Nero BVII,Undirected,1611,1611,,Robert Drury,True,True,True
James Ussher,Claudius AX,Undirected,1621,1621,1621,James Ussher,True,True,True
Richard Bancroft,Domitian XV,Undirected,1611,1610,1612,Bancroft or George Abbot,False,True,True
Lord William Howard,Appendix XLI,Undirected,1636,1635,1638,"Sir William Howard, 1635 or 1636, ? 1638 (114.2, 124.1: (2) this + Appx XXXIX or (1) Ricobaldus Ferrariensis, Historia imperatorum, for which see loans entries).",False,True,True
Richard Montague,Vespasian EIII,Undirected,1621,1621,1621,Richard Montague,True,True,True
Henry Howard,Titus BIV,Undirected,1614,1613,1615,"(? of at least fols 129-40, art. 30-34) ? Henry Howard, c.1614 (121.4).",True,True,False
Thomas or Samuel Roper,Vitellius AI,Undirected,1638,1637,1639,"Thomas or Samuel Roper, ¢.1638 (160: this or Vit. D.XVIID",False,True,False
Robert Bowyer,Vitellius EXVI,Undirected,1621,1621,1621,"Robert Bowyer, ¢.1612 (13.8, 36.12), 1621 (2.44)",True,True,True
William Dugdale,Claudius BIV,Undirected,1653,1653,1653,"William Dugdale, 1653 (247.1).",True,True,True
William Camden,Caligula EVIII,Undirected,1614,1612,1616,William Camden,True,True,True
John Selden,Cleopatra AXVI,Undirected,1621,1621,1621,"John Selden, 1621 (2.67: this or 6018, no. 287 - see below. If Cleo. A.XVI was the manuscript lent to Selden, the descrip- tion, ‘bound old’, indicates that, as would be expected from A.XVI’s 6018 entry, art. 11 had not yet been added).",False,True,True
John Bradshaw,Faustina AIII,Undirected,1616,1615,1617,"John Bradshaw, c.1615-17 (88.1: this or Tit. ANVIID",False,True,True
Peter Balle,Cleopatra EIII,Undirected,1640,1640,1640,"Peter Balle, 1640 (205.1: ? this, but see the entry for Vit. B:1).",True,True,True
Simonds D’Ewes,Julius BVIII,Undirected,unknown date,,,Simonds D’Ewes,True,True,True
Richard Bancroft,Cleopatra EI,Undirected,1608,1607,1610,Richard Bancroft,False,True,True
Henry Montagu,Faustina BIX,Undirected,1621,1621,1621,"Henry Montagu, 1621 (2.30)",True,True,True
James Ussher,Tiberius CIII,Undirected,unknown date,,,James Ussher,True,False,True
Francis Tate,Caligula AXV,Undirected,1612,,1612,Francis Tate,True,True,True
John Selden,Titus DXX,Undirected,1653,1653,1653,"John Selden, via William Dugdale, 1653 (236.1).",True,True,True
Bulstrode Whitelocke,Galba DIX,Undirected,1652,1652,1652,Bulstrode Whitelocke,True,True,True
Thomas Wilson,Vitellius CXVI,Undirected,1621,,1621,"Wilson, by 1617, 1621 (111.21, 2.101: ? fols 132v-39, 246-47, 310-13, artt. 4, 8, of this, and / or parts of Jul. F.VI, Vit. C.XI, Vesp. F.VI)",False,True,True
John Selden,Vitellius FXIX,Undirected,1641,1641,1641,Selden,True,True,True
Bulstrode Whitelocke,Otho EIX,Undirected,1652,1652,1652,Bulstrode Whitelocke,True,True,True
William Crashaw,Cleopatra EI,Undirected,1610,1610,1610,"(? of fols 183-87, art. 41) Crashaw, 1610 (Jul. C.III, fol. 125)",True,True,True
Thomas Wilson,Vitellius CXVI,Undirected,1617,,1617,"Thomas Wilson, by 1617 (111.19: ? fols 539-40v, art. 24)",True,True,True
William Camden,Caligula EX,Undirected,1614,1612,1616,William Camden,True,True,True
Edward Herbert,Vitellius CXVI,Undirected,1636,1636,1636,Edward Herbert,False,True,True
Godfrey Goodman,Julius EI,Undirected,1655,1655,1655,"Godfrey Goodman, 1655 (256)",True,True,True
Henry Bourchier,Caligula EXII,Undirected,1654,1653,1655,"Henry Bourchier, ¢.1654 (253: this or Calig. E.XI).",False,True,True
William Le Neve,Vespasian CXIV,Undirected,1641,1641,1641,"William Le Neve, 1641 (213.1: ? this, ? Nero D.VI or ? Vit. C.IV)",False,True,True
unidentified borrower,Nero CI,Undirected,1640,1640,1640,borrower not identified,True,True,False
John Williams,Caligula AXII,Undirected,1624,1624,1624,"Humphrey Henchman for John Williams, ? 1624 (2.102: this or Calig. A-XIII)",False,True,True
John Barkham,Tiberius AIX,Undirected,1621,1621,1621,John Barkham,False,True,True
John Selden,Vespasian BXXII,Undirected,1639,1639,1639,"John Selden, 1639 (177.1)",True,True,True
St Lo Kniveton,Vitellius FXVII,Undirected,1616,1615,1617,St Lo Kniveton,True,True,True
John Selden,Cleopatra CX,Undirected,1640,1640,1640,"John Selden, 1640 (208.3: this or Vesp. D.X).",False,True,True
John Selden,Otho EVIII,Undirected,1621,1621,1621,John Selden,False,True,True
William Le Neve,Claudius CII,Undirected,1640,1640,1640,William Le Neve,True,True,True
John Selden,Claudius EVII,Undirected,1621,1621,1621,John Selden,True,True,True
John Selden,Julius BVIII,Undirected,1638,1637,1639,"Selden, c.1638 (163.6)",True,True,True
George Carew,Vespasian CXIV,Undirected,1604,1604,,George Carew,True,True,True
Richard Bancroft,Vespasian FXIII,Undirected,1608,1608,1608,"(of fol. 12, art. 2) Richard Bancroft, 1608, by hand of John Pory (29.10: this or Claud. B.II, Vit. E.XI, Tit. D.XI or Faust. B.1)",False,True,True
Ralph Brooke,Vespasian CXIV,Undirected,1615,,1615,"? Ralph Brooke, by 1615 (17.1: vol. 1, fols 126-34, artt. 45-50, fols 136-59, artt. 52-61, fols 241-69y, 272-97, artt. 100-3, 106-15, of this)",True,True,True
John Selden,Otho DVII,Undirected,1621,1621,1621,John Selden,True,True,True
Fulke Greville,Cleopatra AXVI,Undirected,1617,,1617,"Fulke Greville, by 1617 (111.1: this or 6018, no. 287 — see below)",False,True,True
John Selden,Titus EXI,Undirected,1640,1639,1641,John Selden,True,True,True
Henry Montagu,Caligula AXIII,Undirected,1621,1621,1621,"Henry Montagu, 1621 (2.21: this or Calig. A-XID",False,True,True
Godfrey Goodman,Vitellius BII,Undirected,1640,1640,1640,"Godfrey Goodman,",True,True,True
Daniel Dunn,Vespasian CI,Undirected,1611,,1611,"Daniel Dunn, by 1611 (55.1)",True,True,True
Richard Bancroft,Tiberius CVII,Undirected,1608,1608,1608,"Richard Bancroft, 1608, by hand of John Pory (29.6: this or Claud. E.III)",False,True,True
John Selden,London British Library Additional MS 33216,Undirected,1640,1639,1641,"John Selden,",False,True,True
Richard Bancroft,Vitellius EXI,Undirected,1608,1608,1608,Richard Bancroft,False,True,True
Hart,Julius CII,Undirected,1612,1612,1612,"(of at least fols 1-18y, art. 1)",True,True,True
Edward Herbert,Cleopatra AXIV,Undirected,1636,1636,1636,Edward Herbert,False,True,True
Robert Bowyer,Caligula BV,Undirected,1612,1611,1613,"(of fols 382-454, art. 75) Robert Bowyer, c.1612 (36.2).",True,True,True
Bulstrode Whitelocke,Nero BIV,Undirected,1653,1653,1653,"Bulstrode Whitelocke, 1653 (128",True,True,True
Samuel Ward,Tiberius CII,Undirected,1621,1621,1621,Ward,False,True,True
William Camden,Claudius EVII,Undirected,1614,1612,1616,William Camden,False,True,True
William Camden,Nero BIV,Undirected,1617,1617,1617,William Camden,False,True,True
Arthur Agarde,Domitian XV,Undirected,1613,1612,1615,"Arthur Agarde, 1612-15 (71.37)",True,True,True
William Camden,Titus AXVI,Undirected,1614,1612,1616,William Camden,True,True,True
Spencer Compton,Faustina BII,Undirected,1640,1640,1640,"Compton, ? 1640 (168).",True,True,True
Robert Cecil,Caligula EII,Undirected,1608,1605,1612,"(? distributed in Calig. D.VI-E.V) Robert Cecil, through Thomas Wilson, c.1605-12 (12.1)",True,True,True
Henry Savile,Vespasian CXIV,Undirected,1604,1604,,Henry Savile,True,True,True
Francis Bacon,Cleopatra FVI,Undirected,1616,1615,1617,Francis Bacon,True,True,True
William Dugdale,Otho AIX,Undirected,1655,1655,1655,William Dugdale,True,True,True
Robert Cecil,Caligula EI,Undirected,1608,1605,1612,"(? distributed in Calig. D.VI-E.V) Robert Cecil, through Thomas Wilson, ¢.1605-12 (12.1)",True,True,True
John Selden,Claudius AIII,Undirected,unknown date,,,John Selden,True,True,True
Richard St George,Otho BXIV,Undirected,1614,,1614,"Richard St George, by 1614 (15.4: this or Calig. A-XII or XIII)",False,True,True
Lord William Howard,Titus EIX,Undirected,1640,1640,1640,"Sir William Howard, ? 1640 (169: this (except for the material on fols 329-403 which relates to 1 Richard III), Tit. E.VII or VIII)",False,True,True
Richard Bancroft,Claudius EIII,Undirected,1608,1608,1608,"Richard Bancroft, 1608, by hand of John Pory (29.6: this or Tib. C.VII)",False,True,True
William Dugdale,Vespasian AXII,Undirected,1639,1639,1639,"William Dugdale, 1639 (185.1",True,True,True
Thomas Howard,Julius CVIII,Undirected,1621,1621,1621,"Thomas Howard, 1621 (2.78: ? this",True,True,True
Richard Bancroft,Vitellius DXI,Undirected,1608,1608,1608,"Richard Bancroft, 1608, by hand of Zachariah Pasfeild (29.20: this, Tib. A.IX or Vit. E.IV).",False,True,True
Henry Montagu,Cleopatra FVI,Undirected,1621,1621,1621,"Henry Montagu, 1621 (2.22)",True,True,True
William Dugdale,Titus CV,Undirected,1661,1661,1661,"William Dugdale, 1661 (266.2).",True,True,True
Lord William Howard,Cleopatra FVI,Undirected,1614,1613,1615,"? Howard, ¢.1614 (121.3, and see below)",True,True,False
John Speed|John Barkham,Vespasian EIII,Undirected,1612,1611,1613,"(of fols 171-78, art. 11) John Speed and John Barkham, c.1612 (50.8: ? this, but the folios are quarto while the item in the loan is listed as octavo)",True,True,True
Augustine Vincent,Cleopatra CIII,Undirected,unknown date,,,"(? of at least fols 341-75v, 384-85y, parts of art. 6) Vincent (Jul. C.III, fol. 379",True,True,True
John Selden,Vespasian EXI,Undirected,1617,,1617,? John Selden,True,True,False
William Le Neve,Vitellius CIV,Undirected,1641,1641,1641,William Le Neve,False,True,True
