ID,Label,Type,Emperor,Title,FindingAid
Titus AVIII,Titus AVIII,Book,Titus,Cotton Manuscript Titus A VIII (Unspecified),http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001102576&displayMode=full&vid=IAMS_VU2
Tiberius AXIV,Tiberius AXIV,Book,Tiberius,"Bede, Historia ecclesiastica gentis Anglorum (imperfect) (4th quarter of 8th century-1st quarter of 9th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001102189&displayMode=full&vid=IAMS_VU2
Julius BVIII,Julius BVIII,Book,Julius,Fleta (1st half of the 14th century),http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001101654&displayMode=full&vid=IAMS_VU2
Faustina BIX,Faustina BIX,Book,Faustina,Chronicle of Melrose Abbey; Chronicles of Tynemouth Priory (c 1174-1st quarter 15th century),http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001101654&displayMode=full&vid=IAMS_VU2
Galba CVIII,Galba CVIII,Book,Galba,"Records and papers concerning England and the Low Countries, 1585 (4th quarter 16th century-1st half 17th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103909&displayMode=full&vid=IAMS_VU2
Titus AXV,Titus AXV,Book,Titus,"John Joscelyn and John Parker, Old English-Latin dictionary, part I, A–L (4th quarter of the 16th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103506&displayMode=full&vid=IAMS_VU2
Galba BXII,Galba BXII,Book,Galba,"Records and papers concerning England and Burgundy, 1546–1557 (16th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001102780&displayMode=full&vid=IAMS_VU2
Nero CIV,Nero CIV,Book,Nero,‘Winchester Psalter’ or ‘Psalter of Henry of Blois’ (Mid 12th century-2nd half of the 13th century),http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001102671&displayMode=full&vid=IAMS_VU2
Vespasian EXI,Vespasian EXI,Book,Vespasian,Cotton Manuscript Vespasian E XI (Unspecified),http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001102671&displayMode=full&vid=IAMS_VU2
Otho DVIII,Otho DVIII,Book,Otho,"Calendar; Passional (February–March), comprising",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103433&displayMode=full&vid=IAMS_VU2
Cleopatra AXVI,Cleopatra AXVI,Book,Cleopatra,"Cotton Manuscript Cleopatra A XVIDialogue of the Exchequer; chronicles, etc (Unspecified)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001102901&displayMode=full&vid=IAMS_VU2
Claudius CXI,Claudius CXI,Book,Claudius,Cotton Manuscript Claudius C XI (Unspecified),http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103731&displayMode=full&vid=IAMS_VU2
Otho DIII,Otho DIII,Book,Otho,"Cartulary of St Albans Abbey, volume 2 (4th quarter of the 14th century-2nd quarter of the 15th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001102897&displayMode=full&vid=IAMS_VU2
Cleopatra CIII,Cleopatra CIII,Book,Cleopatra,"Historical collections of Francis Thynne (d. 1608), including a history of Tewkesbury Abbey to AD 1476 (210r–224v); Chronicle of Lichfield (229v–254r); Chronicle of Little Dunmow Priory, AD 1104–1501 (281r–287r); and materials relating to Whalley Abbey (315r–328v) (14th century-16th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103768&displayMode=full&vid=IAMS_VU2
Julius DVII,Julius DVII,Book,Julius,"John of Wallingford, Collectanea (3rd quarter of the 13th century-2nd half of the 15th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001101724&displayMode=full&vid=IAMS_VU2
Tiberius CXI,Tiberius CXI,Book,Tiberius,Cotton Manuscript Tiberius C XI (Unspecified),http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001101724&displayMode=full&vid=IAMS_VU2
Claudius AV,Claudius AV,Book,Claudius,"Pseudo-John of Peterborough, Peterborough Chronicle, AD 654-868, 890-1368; William of Malmesbury Gesta Pontificum Anglorum; William of Malmesbury, Vita Sancti Aldhelmi Episcopi; genealogy of King Henry II of England; Vita Sancti Erkenwaldi Episcopi; Vita Sancte Wenefrede Virginis; Miracula Sancte Wenefrede Virginis; Vita Sancti Neoti Abbatis; William of Malmesbury, Vita Sancti Wulfstani Episcopi (4th quarter of the 12th century-1st quarter of the 17th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001102261&displayMode=full&vid=IAMS_VU2
Nero CVII,Nero CVII,Book,Nero,"William of St Albans, Passio Sanctorum Albani et Amphibali; Vita Sancti Augustini Cantuariensis; A Passionale (imperfect); An Easter-table including Annals of Thorney Abbey; Rentals of the Benedictine abbey of Peterborough; an annalistic chronicle; Rental of Nailsbourne and Holway and other memoranda (12th century-16th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001102440&displayMode=full&vid=IAMS_VU2
Tiberius AXIII,Tiberius AXIII,Book,Tiberius,"Two cartularies of Worcester Cathedral Priory (including ‘Hemming’s Cartulary’) and supplementary material, including a homily and an account of Bishop Wulfstan II of Worcester (1st quarter of the 11th century-16th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001102188&displayMode=full&vid=IAMS_VU2
Tiberius BV,Tiberius BV,Book,Tiberius,"Liber Pontificalis (Pontifcal of Glasgow); The Coronation Book of Charles V, King of France (12th century-14th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001102188&displayMode=full&vid=IAMS_VU2
Titus DXIX,Titus DXIX,Book,Titus,Cotton Manuscript Titus D XIX (Unspecified),http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-003356033&displayMode=full&vid=IAMS_VU2
Claudius AVIII,Claudius AVIII,Book,Claudius,Cotton Manuscript Claudius A VIII (Unspecified),http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103585&displayMode=full&vid=IAMS_VU2
Vitellius EXV,Vitellius EXV,Book,Vitellius,"Cartulary of Osney Abbey, incorporating annalistic chronicles, AD 1065–1179 (1r–2v",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103095&displayMode=full&vid=IAMS_VU2
Titus DIX,Titus DIX,Book,Titus,Cotton Manuscript Titus D IX (Unspecified),http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103095&displayMode=full&vid=IAMS_VU2
Nero BV,Nero BV,Book,Nero,"Records and papers (predominantly copies) concerning England and Denmark, 1598–1612 (1st quarter of the 17th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001102646&displayMode=full&vid=IAMS_VU2
Galba EVI,Galba EVI,Book,Galba,"Records and papers concerning England and France, 1580–1589 (4th quarter 16th century-1st half 17th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001102646&displayMode=full&vid=IAMS_VU2
Vitellius DXIII,Vitellius DXIII,Book,Vitellius,Life and sermons of St Augustine; homilies of Eusebius (12th century),http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103059&displayMode=full&vid=IAMS_VU2
Faustina EV,Faustina EV,Book,Faustina,"Papers of members of the Society of Antiquaries, among them Arthur Agard (d. 1615), William Camden (d. 1623), Joseph Holland (d. 1605), Thomas Talbot (d. 1595 × 1599) and Francis Tate (d. 1616), including William Hakewill, The Antiquitie of the Lawes of this Iland (3r–4r); Of the Antiquitye and Etymologye of Termes and Tymes for administracione of Iustcye in Englande (9r–10v); Of the Antiquityes of the Howses of Lawe (43r–48r); A proiect touching a petition to be exhibited unto her maiesty for the erecting of her library and an Academy (89r–90v); Of the antiquitye of Armes in England (93r); Of the Etymologie, Antiquitye, Priveledges of Castles in Englande (113r–115v); Joseph Holland, Of the Antiquitye of Ceremonies used att Funeralls in Englande (147r–v); The Antiquity & selected variety of Epitaphes in England (166r–167r); and Robert Cotton, Of the antiquity of mott(o)s and words with Armes of Noblemen and Gentelmen of England (213r) (4th quarter of the 16th century-1st quarter of the 17th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103940&displayMode=full&vid=IAMS_VU2
Otho DVII,Otho DVII,Book,Otho,"Ralph de Diceto, Abbreuiationes chronicorum (1r–25v, 28r–v, 35r–47v, 49r) and Ymagines historiarum (28v–34r, 48r–v, 49r–97v); Aelred of Rievaulx, Genealogia regum Anglorum (98r–v",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001102900&displayMode=full&vid=IAMS_VU2
Caligula AXV,Caligula AXV,Book,Caligula,"Jerome, De viri illustribus, Jerome, Vita S Pauli, extracts from Isidore's Eymologiae, book III of Cyprian's Ad Quirinum Testimonia, De computo paschali, compustical texts, prognostic material, charms, annals of Christ Church, Canterbury, extracts from Ælfric's De temporibus anni, and notes on topics like the ages of the world. (late 8th century - late 11th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001102900&displayMode=full&vid=IAMS_VU2
Titus EIV,Titus EIV,Book,Titus,"Transcript of the Parliament rolls, 1–9 Henry V (1413–1421) (1st half of the 17th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103604&displayMode=full&vid=IAMS_VU2
Claudius DII,Claudius DII,Book,Claudius,Cotton Manuscript Claudius D II (Unspecified),http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103604&displayMode=full&vid=IAMS_VU2
Vitellius DXV,Vitellius DXV,Book,Vitellius,Cotton Manuscript Vitellius D XV (Unspecified),http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001102521&displayMode=full&vid=IAMS_VU2
Vitellius AIII,Vitellius AIII,Book,Vitellius,Cotton Manuscript Vitellius A III (Unspecified),http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103060&displayMode=full&vid=IAMS_VU2
Titus AII,Titus AII,Book,Titus,"Symeon of Durham, Libellus de exordio atque procursu istius, hoc est Dunhelmensis, ecclesie, with continuation (2r–68r); Geoffrey of Coldingham, Liber de statu ecclesie Dunelmensis (68r–85v); Robert Graystanes, Historia de statu ecclesie Dunelmensis (86r–126v); Liber de miraculis et translationibus sancti Cuthberti (127r–132r",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103478&displayMode=full&vid=IAMS_VU2
Vespasian FVI,Vespasian FVI,Book,Vespasian,"Correspondence and other records (originals and transcripts) concerning England and France, 1572, including letters of Queen Elizabeth I of England (1558–1603), King Charles IX of France (1560–1574), William Cecil, 1st Baron Burghley (d. 1598), Francis Walsingham (d. 1590) and Sir Thomas Smith (d. 1577); Treaty of Blois, 1572 (24r–44v); Ad Serenissimam Angliæ, Franciæ, Hyberniæ Reginam Elizabetham, Pro Christianorum Defensio Oratio (289r–294v) (1572-1st half of the 17th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103478&displayMode=full&vid=IAMS_VU2
Cleopatra BIX,Cleopatra BIX,Book,Cleopatra,"Computistical miscellany, including medieval endleaves (ff. 2–3); Les jupartiez des eschez (4r–8v",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103752&displayMode=full&vid=IAMS_VU2
Vitellius FIX,Vitellius FIX,Book,Vitellius,,
Otho AI,Otho AI,Book,Otho,"Decrees of the Council of Clofesho, 747 (1r–4v",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001102827&displayMode=full&vid=IAMS_VU2
Faustina AIII,Faustina AIII,Book,Faustina,"Cartulary of Westminster Abbey, including Sulcard, De constructione ecclesie Westmonasterii (11r–16v) (4th quarter of the 13th century-1st quarter of the 16th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103842&displayMode=full&vid=IAMS_VU2
Titus BV,Titus BV,Book,Titus,"Records and papers relating to treaties, musters, loans and projects, mainly temp. Elizabeth I (1558–1603) to James I (1603–1625) (1st quarter 15th century-1st half 17th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103523&displayMode=full&vid=IAMS_VU2
Caligula AXIII,Caligula AXIII,Book,Caligula,Cotton Manuscript Caligula A XIII (Unspecified),http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103523&displayMode=full&vid=IAMS_VU2
Titus FIII,Titus FIII,Book,Titus,"Miscellaneous papers, including the statutes of Cardinal’s College, Oxford (Christ Church) (1r-90r) (1st half 16th century-1st half 17th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103617&displayMode=full&vid=IAMS_VU2
Claudius DIX,Claudius DIX,Book,Claudius,Decretals; Collectio Lanfranci (1st quarter of the 12th century - 14th century),http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103617&displayMode=full&vid=IAMS_VU2
Claudius AVI,Claudius AVI,Book,Claudius,"Cartulary of Boxgrove Priory; Ivo of Chartres, Sermones; Epistolae; Marbod of Rennes, Epistola V; Hildebert of Lavardin, Epistola X; anonymous monk ('G') of Pontlevoy, three letters (13th century-14th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001102547&displayMode=full&vid=IAMS_VU2
Caligula EVI,Caligula EVI,Book,Caligula,"Records and correspondence concerning England and France, 1567–1576 (2nd half of the 16th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001102444&displayMode=full&vid=IAMS_VU2
Vitellius CXVI,Vitellius CXVI,Book,Vitellius,Collections relating to royal and noble marriages (1st half 16th century-1st half 17th century),http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103031&displayMode=full&vid=IAMS_VU2
Tiberius CXIII,Tiberius CXIII,Book,Tiberius,Cotton Manuscript Tiberius C XIII (Unspecified),http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103031&displayMode=full&vid=IAMS_VU2
Vespasian AXVIII,Vespasian AXVIII,Book,Vespasian,Cotton Manuscript Vespasian A XVIII (Unspecified),http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103187&displayMode=full&vid=IAMS_VU2
Vespasian BXXV,Vespasian BXXV,Book,Vespasian,"Solinus, Collectanea Rerum Mirabilium; Priscian, De Situ Orbis; Pseudo-Dares, De Excidio Troiae Historia; Pseudo-Jerome, De Mobilitate Mentis Humanae; Prophetia Sybillae; Pseudo-Ausonius, Sententiae Septem Sapientum; (?) Segardus junior of St Omer, De Miseria Hominis; Roger of Caen, De Contemptu Mundi (excerpt); Hildebert of Lavardin, De Mysterio Missae (excerpts); De Tribus Mortibus; Pseudo-Nennius, Historia Brittonum; Pseudo-Bede, De Quindecim Signis ante Diem Iudicii; De Septem Miraculis Mundi; Latin verses (The Song of the Sybil). (1st quarter of the 12th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103187&displayMode=full&vid=IAMS_VU2
Claudius DI,Claudius DI,Book,Claudius,"Letters of John Wheathampstead, abbot of St Albans (1420–1440, 1451–1465) (3r–34v",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001102520&displayMode=full&vid=IAMS_VU2
Vitellius AXIII,Vitellius AXIII,Book,Vitellius,Cotton Manuscript Vitellius A XIII (1150-1450),http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001102520&displayMode=full&vid=IAMS_VU2
Tiberius CV,Tiberius CV,Book,Tiberius,Cotton Manuscript Tiberius C V (Unspecified),http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001102248&displayMode=full&vid=IAMS_VU2
Cleopatra EI,Cleopatra EI,Book,Cleopatra,Cotton Manuscript Cleopatra E I (Unspecified),http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001102248&displayMode=full&vid=IAMS_VU2
Julius CIX,Julius CIX,Book,Julius,Cotton Manuscript Julius C IX (Unspecified),http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001101701&displayMode=full&vid=IAMS_VU2
Galba BVI,Galba BVI,Book,Galba,"Records and papers concerning England and Burgundy, 1518–1521 (1st quarter of the 16th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001101701&displayMode=full&vid=IAMS_VU2
Cleopatra EII,Cleopatra EII,Book,Cleopatra,"Collections relating to the Church in England, volume 2 (14th century-1st half 17th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103821&displayMode=full&vid=IAMS_VU2
Julius FIII,Julius FIII,Book,Julius,Proceedings of the Navy Commission (1r–329r); list of witnesses (330r–332r) (1608-1609),http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001101766&displayMode=full&vid=IAMS_VU2
Caligula CIII,Caligula CIII,Book,Caligula,"Records and papers concerning England and Scotland (originals and copies), 1568/9–1585, including a diary of John Lesley, bishop of Ross (d. 1596), 1571 (4r–40r); letters of Mary, queen of Scots (1542-67; d. 1587) (ff. 171, 244–248, 261–262, 423, 618, 620); and the pleading of Thomas Howard, 4th duke of Norfolk (d. 1572) (f. 189) (1571-1st half of the 17th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001101766&displayMode=full&vid=IAMS_VU2
Otho CI,Otho CI,Book,Otho,Cotton Manuscript Otho C I (early 11th century-mid 11th century),http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001102380&displayMode=full&vid=IAMS_VU2
Titus BXI,Titus BXI,Book,Titus,"Records and papers relating to Ireland, Edward I (1272–1307) to Mary I (1553–1558) (4th quarter 13th century-1st half 17th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001102876&displayMode=full&vid=IAMS_VU2
Vespasian AXXIV,Vespasian AXXIV,Book,Vespasian,"Account-book of William Morton, almoner of Peterborough Abbey (1448–1467) (imperfect) (between 1448-1467)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103210&displayMode=full&vid=IAMS_VU2
Tiberius EVI,Tiberius EVI,Book,Tiberius,Cotton Manuscript Tiberius E VI (Unspecified),http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001102295&displayMode=full&vid=IAMS_VU2
Vespasian EXVII,Vespasian EXVII,Book,Vespasian,"Cartulary of St Andrew’s Priory, Northampton (1st half of the 15th century-1st quarter of the 16th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001103443&displayMode=full&vid=IAMS_VU2
Otho EIX,Otho EIX,Book,Otho,"Papers relating to the Admiralty, Navy and shipping, Henry VIII–James I (originals and copies), including a report by Sir Francis Drake (d. 1596) of the raid on Cadiz, 1587 (f. 169), letters of Charles Howard, 2nd Baron Howard of Effingham (d. 1624) (ff. 165–166, 210–211), Sir Francis Drake (d. 1596) (ff. 183–184), Sir Francis Walsingham (d. 1590) (ff. 190, 195–198, 212, 260–261) and Sir Walter Raleigh (d. 1618) (f. 365), and numerous items concerning the Spanish Armada, 1588 (1st half of the 16th century-1st quarter of the 17th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001102917&displayMode=full&vid=IAMS_VU2
Vespasian BXX,Vespasian BXX,Book,Vespasian,"Goscelin of Saint-Bertin, Lives of the Canterbury saints etc; charters and privileges allegedly granted to the Benedictine abbey of St Augustine, Canterbury (1st quarter of the 12th century-1st half of the 15th century)",http://searcharchives.bl.uk/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&doc=IAMS040-001102917&displayMode=full&vid=IAMS_VU2
