Id,Label,Note,Subjects,Subjects_Primary,Versification,_description,Macaronic,Author(s),Author confidence,Title(s),Bibliographic Ghosts,Type,n_witnesses
DIMEV 6707,Wisemens redeless slyly I shewed,,"sermons, verse in;abuses of the age;proverbs",sermons;abuses of the age;proverbs,— two-line — aa,"On abuses of the age, in a Latin sermon, Panem nostrum cotidianum da nobis hodie — one couplet",,,,,,Text,1
DIMEV 6803,Worst is best,"A variant of ‘Might is right’, 3492.",abuses of the age;evils of the time,abuses of the age;evils of the time,— two-line — aa,"Abuses of the age, in a Latin sermon — six lines, including some couplets",,,,,,Text,1
DIMEV 289,Alas mercy where shall mine heart you find,,"Molins, Anne;love lyrics;roundels;acrostics",Molins;love lyrics;roundels;acrostics,— twelve-line — abbaabaabbaa,A roundel (an acrostic on Anne Molins) by Charles d’Orléans — twelve lines,,Charles d’Orléans,,,"Grenoble, Bibl. municipale, Grenoble 873: no English poems in this MS: see Arn (1994) XArn, Mary-Jo. Fortunes Stabilnes: Charles of Orleans’s English Book of Love. A Critical Edition. Binghamton, NY: Medieval and Renaissance Texts and Studies, 1994, 382, n. 4.",Text,1
DIMEV 741,Away faint love full of variance,,"Virgin Mary, songs in honour of;acrostics",Virgin Mary;acrostics,— seven-line — ababbcc,"A Balade in praise of the Virgin Mary, with acrostic — fifteen stanzas rhyme royal",,,,,,Text,1
DIMEV 785,Beauty of you burn in my body abides,"Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 245.","acrostics;love lyrics;women, as speakers/narrators",acrostics;love lyrics;women,— seven-line — ababbcc,"Humfrey Newton, On her (or his?) lover, an acrostic on BRIAN — one stanza rhyme royal",,Humfrey Newton,,,,Text,1
DIMEV 961,Causer of my joy health and comfort,,"acrostics;Katherine of Alexandria, saint",acrostics;Katherine of Alexandria,"— seven-line, ababbcc",An acrostic on St Katherine — one stanza rhyme royal,,,,,,Text,1
DIMEV 1103,Death is a dreadful debtor,,death;acrostics,death;acrostics,— four-line — aabb,A four-line acrostic on death — two couplets in John Grimestone’s sermon notes,,John Grimestone,,,,Text,1
DIMEV 1219,Ever sovereign sweet sweetest in sight,"Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler TM 389; cf. 1220.",acrostics;love letters,acrostics;love letters,— four-line — abab,"Humfrey Newton, a love letter to his best beloved mistress, with acrostic on Elin — one quatrain",,Humfrey Newton,,,,Text,1
DIMEV 1220,Everlasting love to me I have taken,"Formerly 735; Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler TM 390; cf. 1219.",acrostics,acrostics,— four-line — abab,"Humfrey Newton, an acrostic to Elin — one quatrain",,Humfrey Newton,,,,Text,1
DIMEV 1221,Everlasting wealth without discomfiture,Formerly 735.5.,"acrostics;Elizabeth, queen",acrostics;Elizabeth,,"Acrostic on Elisabetha Timwaw, Queen to Henry VII — 16 lines",,,,,,Text,1
DIMEV 1680,Hail and holy ay be Thy name,"A type of acrostic, each stanza beginning with a word of ‘Heil Marie’ (1731).",acrostics;hymns to Virgin Mary;hymns to Virgin Mary,acrostics;Virgin Mary,— eight-line — abababab,A hymn to the Virgin Mary on the Angelic Salutation — fifteen 8-line stanzas (abababab),,,,,,Text,1
DIMEV 1683,Hail be Thou hend heaven Queen,Cf. 1680.,hymns to Virgin Mary;hymns to Virgin Mary;acrostics,Virgin Mary;acrostics,— eight-line — abababab,"A hymn to the Virgin Mary, with a word-type acrostic (Aue Maria) — twelve 8-line stanzas",,,,,,Text,1
DIMEV 1698,Hail blessed Lady the Mother of Christ Jesu,"Initial letters of first five lines, stanzas 15-17, read M-A-R-I-A.",hymns to Virgin Mary;hymns to Virgin Mary;acrostics,Virgin Mary;acrostics,— eight-line — ababbcbc,"John Lydgate, ‘Ave Iesse Virgula’ — nineteen 8-line stanzas (ababbcbc) with this refrain",Latin,John Lydgate,,‘Ave Iesse Virgula’,,Text,3
DIMEV 1938,Her heart I would I had iwis,,acrostics;love lyrics,acrostics;love lyrics,— seven-line — ababbcc,"Humfrey Newton, On his mistress — one stanza rhyme royal (with acrostic Hvmfrey)",,Humfrey Newton,,,,Text,1
DIMEV 2635,In these words plus pi been contained,,acrostics;religious observance,acrostics;religious observance,— seven-line — ababbcc,Acrostic (Plus pi) on those not obligated to fast — one stanza rhyme royal commenting on ten lines of Latin preceding,,,,,,Text,1
DIMEV 2671,In word and eek in deed / Obey thy living Lord,,"acrostics;God, trust in",acrostics;God,— two-line — aa,Trust in God — five couplets: an acrostic of John Wilson,,John Wilson,,,,Text,1
DIMEV 2676,Instruct well thy family,,"advice, moral;acrostics;Frise, Isaace",advice;acrostics;Frise,,Moral counsel: an acrostic on Isaace Frise — eleven lines,,,,,,Text,1
DIMEV 3014,Knowledge acquaintance resort favor with grace,,acrostics;love lyrics,acrostics;love lyrics,— seven-line — ababbcc,"John Skelton, In praise of his beloved — seven stanzas rhyme royal with acrostic on Kateryn",,John Skelton,,,,Text,0
DIMEV 3084,Like as great waters increasen into floods fele,Cf. 6831,"acrostics;sins, deadly;clothing, against extremes of",acrostics;sins;clothing,— seven-line — ababbcc,A song of ‘Galaunt’ (an acrostic of the Deadly Sins) — rhyme royal stanzas,,,,,,Text,3
DIMEV 3454,Mayest thou now be glad with all thy fresh array,,acrostics;death,acrostics;death,— five-line — abbba,A Mirror for Young Ladies at their Toilet; an acrostic — three 5-line stanzas (abbba),,,,A Mirror for Young Ladies at their Toilet,,Text,1
DIMEV 3498,Mildest of mood and meekest of maidens all,,"acrostics;Virgin Mary, joys of;hymns to Virgin Mary",acrostics;Virgin Mary,— eight-line — ababbcbc,Hymn on the Five Joys — five 8-line stanzas (‘MARIA’) to which are added six lines forming the acrostic ‘Pipwel’,,,,,,Text,1
DIMEV 3521,Mirror of ghostly shewing,"For another acrostic on M-O-R-S, see 5245.","sermons, verse in;death;translations;acrostics",sermons;death;translations;acrostics,— four-line — aaaa,"A unique 4-line tag in a copy of the Fasciculus morum; the only English in the whole Latin text, rendering in English the Latin moralization of M-O-R-S",,,,,,Text,1
DIMEV 3561,Most sovereign lady comfort of care,,love letters;acrostics,love letters;acrostics,— eight-line — ababcdcd,A love letter to his mistress by Humfrey Newton — one 8-line stanza (acrostic on MARGARET),,Humfrey Newton,,,,Text,1
DIMEV 3954,O lewd book with the fool rudeness,Follows The Cuckoo and the Nightingale (5299).,love lyrics;envoys;acrostics,love lyrics;envoys;acrostics,— seven-line — ababbcc,Balade with Envoy to Alison — three stanzas rhyme royal and 6-line Envoy (ALISON),,,,,,Text,2
DIMEV 4468,Renowned royal right reverend and serene,Cf. 2438.,"acrostics;occasional verse;historical poems;Stewart, Bernard, lord of Aubigny",acrostics;occasional verse;historical poems;Stewart,— eight-line — ababbcbc,"William Dunbar, ‘Welcum to Bernard Stewart, Lord of Aubigny, May, 1508’ — twelve 8-line stanzas (including acrostic on Barnardus) with refrain, ‘With glorie and honoure lawde and reuerence’",,William Dunbar,,"‘Welcum to Bernard Stewart, Lord of Aubigny, May, 1508’",,Text,0
DIMEV 5064,Sweet and benign Mother and May,,"acrostics;Virgin Mary, prayers to;Virgin Mary, prayers to;Stanley, Thomas, baron",acrostics;Virgin Mary;Stanley,— seven-line — ababbcc,"William Huchen, An orison to the Virgin Mary — seven stanzas rhyme royal (with acrostic on ‘stanlei’, Sir Thomas, Baron Stanley, A.D. 1459)",,William Huchen,,,,Text,1
DIMEV 5108,Take the seventeenth in order set,Cf. 1230.,"riddles;acrostics;lovers, addresses to beloved",riddles;acrostics;lovers,,"‘Devynale per Pycard’, supposedly giving the name of ‘my dere lady’ — eight lines",,,,‘Devynale per Pycard’,,Text,1
DIMEV 6148,W Wisdom monstrat et adventus,,"acrostics;Richard, earl of Warwick",acrostics;Richard,,An acrostic on the virtues of the Earl of Warwick — six lines,Latin,,,,,Text,1
DIMEV 293,Alas much was that sinning,,"laments;Christ, Passion of;Adam, creation and fall of",laments;Christ;Adam,— two-line — aa,Lament for Original Sin in relation to Passion of Christ — one couplet,,,,,,Text,1
DIMEV 1624,God with blissful bields,,"Adam, creation and fall of;Creed, exposition of;sin, consequences of;penitence",Adam;Creed;sin;penitence,— two-line — aa,Treatise on sin and salvation through repentance; probably a fragment of a longer work — in couplets,,,,,,Text,1
DIMEV 2630,In the Vale of Abraham,,"carols, of religious counsel;Adam, creation and fall of",carols;Adam,— four-line — aaab,A song of the Creation and Fall of Adam — eight quatrains (aaab) and burden: ‘Now bething the gentilman / How Adam dalf and Eue sp[an]’,,,,,,Text,1
DIMEV 5290,The garland of bliss is fall us fro,,"Adam, creation and fall of",Adam,— two-line — aa,On man’s fall from paradise — one couplet,,,,,,Text,1
DIMEV 531,And said lo Adam is one of us,"Probably extracts of a longer work; see Pickering (1973) XPickering, Oliver S. “The Temporale Narratives of the South English Legendary.” Anglia 91 (1973): 425-55, 433. For a prose version, derived from the same Latin original, see Horstmann (1878) XHorstmann, Carl. Sammlung altenglischer Legenden. Heilbronn: Henninger, 1878, 103-18.","Adam and Eve, life of",Adam and Eve,— two-line — aa,"The Life of Adam and Eve, two insertions in one manuscript of the Old Testament History (6345) — 528 lines in couplets",,,,,,Text,1
DIMEV 2644,In this tree is all His might,,Satan;Adam and Eve,Satan;Adam and Eve,— six-line — aabccb,Satan’s reply to Adam and Eve — six lines,,,,,,Text,1
DIMEV 3082,Light burn that angel bright,,"Adam and Eve, life of",Adam and Eve,— two-line — aa,‘Vite Ade et Eue’ — a fragment in couplets,,,,‘Vite Ade et Eue’,,Text,2
DIMEV 6266,When Adam delved and Eve span,"Printed in Walsingham, Historia breuis, Binneman, 1574 (STC 25004) and Stow, Annales (STC 23334-23340; editions without indication of source include Riley (1863) XRiley, Henry Thomas. Thomae Walsingham, Quondam Monachi S. Albani, Historia Anglicana. 2 vols. Rolls Series 28a (1863-64); repr. Kraus, 1964, 2.32; Thompson (1874) XThompson, Sir Edward Maunde. Chronicon Angliae ab anno Domini 1328 usque ad annum 1388. Rolls Series 64 (1874); repr. Kraus 1965, 321; Owst (1933) XOwst, Gerald Robert. Literature and Pulpit in Medieval England. Cambridge: UP, 1933, 291; Smith (1935) XSmith, William George. The Oxford Dictionary of English Proverbs. Oxford: Clarendon, 1935; rev. ed. 1948, 571; Meech (1940) XMeech, Sanford Brown. “A Collection of Proverbs in Rawlinson MS D 328.” Modern Philology 38 (1940-41): 113-32, 121; Eberhard (1917) XEberhard, Oscar. Der Bauernaufstand vom Jahr 1381 in der englischen Poesie. Anglistische Forshungen 51 Heidelberg: Winter, 1917, 24; Robbins (1960) XRobbins, Rossell Hope. “Middle English Poems of Protest.” Anglia 78 (1960): 193-203, 202.",proverbs;Adam and Eve,proverbs;Adam and Eve,— two-line — aa,"A proverbial saying employed by John Ball in the Wat Tyler insurrection (1381); also found in German, Dutch, etc. Cf. 1596, lines 98-99; 3921, lines 1-4; also many early chronicles. For further references, cf. Meech (1940) XMeech, Sanford Brown. “A Collection of Proverbs in Rawlinson MS D 328.” Modern Philology 38 (1940-41): 113-32, 130.",,,,,"London, British Library Harley 3352: error for London, British Library Harley 3362.",Text,3
DIMEV 1653,Grace pity and gentleness,,"admonition, general;advice, moral;precepts",admonition;advice;precepts,— two-line — aa,Proverbial admonitions — four couplets,,,,,,Text,0
DIMEV 5460,The sicker sooth who so says,,"admonition, general;advice, moral",admonition;advice,"— sixteen-line — aaabcccbdddbeeeb, alliteration",The Four Foes of Mankind — seven 16-line stanzas (aaabcccbdddbeeeb),,,,,,Text,1
DIMEV 5505,The time that Maximian,,"Adrian, saint, life of;saints’ lives",Adrian;saints’ lives,— two-line — aa,Life of St. Adrian in the Scottish Legendary — in couplets,,,,Scottish Legendary,,Text,1
DIMEV 317,All christian men that walk me by / Behold & see,"See 3348, of which this is prologue; Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 114.","adultery, tales of;laments, sinners’;prologues;sinner, lament of",adultery;laments;prologues;sinners,— eight-line — ababbcbc,"Lamentacio Peccatoris, Prologue to the Adulterous Falmouth Squire (3348), a lament for the soul of William Basterfield, Knight — 99 lines in the longest text, mostly in 8-line stanzas",,,,Lamentacio Peccatoris,,Text,6
DIMEV 381,All that will of solace lere,,adultery;romances,adultery;romances,— six-line — aabccb,"The ‘Romance of Sir Corneus’ or ‘The Cukwold’s Daunce’ — 255 lines, generally in 6-line stanzas",,,,‘Romance of Sir Corneus’; ‘The Cukwold’s Daunce’,,Text,1
DIMEV 490,An holy man was parish priest / And loved a friend that woned him next,,"adultery, tales of;clergy, sins of;penitence;confession;exempla",adultery;clergy;penitence;confession;exempla,— two-line — aa,"The Adulterous Parish Priest, in the Northern Homily Cycle — in couplets",,,,Northern Homily Cycle ; Adulterous Parish Priest,"London, British Library Addit. 22283 [Simeon]: not in this MS.",Text,11
DIMEV 1222,Every cuckolds door standeth an-inne,,"sermons, verse in;adultery",sermons;adultery,,A song alluded to in a Latin sermon,,,,,,Text,1
DIMEV 1311,Fire of spoons,,"adultery;aphorisms;women, erring;women, satire directed against",adultery;aphorisms;women,— two-line — aa,"A tag translating Latin ‘Ignis quisquiliarum amor garcionum…’ which follows it, in a series of Latin sentences with English translations — two couplets",,,,,,Text,1
DIMEV 1380,For outen doubt all avouter,"The original Latin appears in the Kalendar of Shepherds; and a prose translation in St John’s College Camb. 37, f. 55v.",adultery;translations,adultery;translations,— two-line — aa,The punishments of the adulterer — five couplets,,,,,,Text,1
DIMEV 3348,Man for mischief thou thee amend,For the Prologue see 317.,"adultery, tales of;tales",adultery;tales,— four-line — abab,Story of the adulterous Falmouth Squire — 49 quatrains (abab),,,,,,Text,8
DIMEV 4123,Of a chance I will you tell,"For another version, see 3117.5.","adultery, tales of;tales, comic",adultery;tales,— two-line — aa,‘A Penni Worthe of Witte’ — 400 lines in couplets,,,,‘A Penni Worthe of Witte’,,Text,1
DIMEV 4213,Of tales and trifles many men tells,,"tales, comic;adultery;fabliaux",tales;adultery;fabliaux,— nine-line — aaaabcccb,"The Tale of the Basin — twenty-five stanzas, generally 9-line (aaaabcccb); 223 lines altogether",,,,The Tale of the Basin,,Text,1
DIMEV 4961,Some horns do wear and blow them not,,adultery;cuckoldry;proverbs,adultery;cuckoldry;proverbs,— two-line — aa,On cuckoldry — one couplet,,,,,,Text,1
DIMEV 5467,The smaller peasen the more to pot,,"women;adultery;body, parts of;comic verse;erotic verse",women;adultery;body;comic verse;erotic verse,— two-line — aa,"Fairness of a woman corresponds to her flightiness, translating a Latin distich, ‘Quo minor est pisa tanto plures capitolla / Quo mage formosa mulier mage luxuriosa’ — one couplet",,,,,,Text,3
DIMEV 6646,Whoso will not afore ye yee thing on this manger,,nonsense;adultery;cuckoldry,nonsense;adultery;cuckoldry,— two-line — aa,"Nonsense rhymes — two couplets, preceded by three Latin and followed by two Latin lines",,,,,,Text,1
DIMEV 857,Blessed be His holy come,,sermons;Advent,sermons;Advent,— two-line — aa,"A homily on the Advent, for the most part in rhyme — couplets",,,,,,Text,1
DIMEV 1202,Ere the fulfilling of time was come / Satan had all the folk I-nome,Formerly 323.,Advent,Advent,— two-line — aa,"Ratio quare presens opus incipiat dominicam primam aduentus domini, in the Northern Homily Cycle — in couplets",,,,Ratio quare presens opus incipiat dominicam primam aduentusdomini ; Northern Homily Cycle,,Text,8
DIMEV 3868,O David thou noble key,,songs;Advent,songs;Advent,— five-line — abaab,"A song based on the antiphon ‘O clavis Dauid’, etc. — three 5-line stanzas (abaab, lines 3 & 4 identical) and a 7-line Latin burden: O clavis dauid inclita / Dans viam in portis / [1 & 2 repeated] / Educ nos de carcere [repeated] / Et de vmbra mortis",Latin,,,,,Text,1
DIMEV 780,Be thou patient in thine adversity,,"adversity, patience in;virtues;advice, moral",adversity;virtues;advice,— eighteen-line stanza — aabcbcdddefffegggg,"Patience in Adversity — four 18-line stanzas with wheel rhyme, with additional couplet",,,,,,Text,1
DIMEV 1363,For impatiency,,"fragments;inscriptions;proverbs;adversity, patience in",fragments;inscriptions;proverbs;adversity,— two-line — aa,Incomplete proverb about impatience — one couplet,,,,,,Text,0
